Period,City,Channel,Category,Segment,Manufacturer,Brand,Item Name,Pack_Size,Packaging,Unit_Price,Sales_Volume(KG_LTRS),Sales_Value
Jan-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,89.06,"66,795.7","21,286,480.6"
Jan-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"72,729.2","26,580,841.7"
Jan-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,99.75,"56,039.7","20,481,238.0"
Jan-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"18,220.5","6,659,200.3"
Jan-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"376,047.6","136,381,702.0"
Jan-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"32,284.4","10,113,609.7"
Jan-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,71.25,"114,573.4","29,909,971.1"
Jan-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"48,512.8","17,730,340.4"
Jan-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"168,740.1","61,670,749.3"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"16,338.8","5,118,378.1"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,85.50,"14,223.1","4,455,612.5"
